,Author,ID
0,Colleen Hoover,1
1,Yuval Noah Harari,2
2,Scott Pape,3
3,Rupi Kaur,4
4,Delia Owens,5
5,Eckhart Tolle,6
6,Matt Haig,7
7,Adam Kay,8
8,Daniel Kahneman,9
9,F. Scott Fitzgerald,10
10,Dale Carnegie,11
11,George Orwell,12
12,Sally Rooney,13
13,Antoine de Saint-Exupery,14
14,Bessel Van Der Kolk,15
15,Mark Manson,16
16,James Clear,17
17,J. K. Rowling,18
18,Elena Favilli,19
19,Viktor E Frankl,20
20,R. J. Palacio,21
21,Charlie Mackesy,22
22,Simon Sinek,23
23,Madeline Miller,24
24,Gail Honeyman,25
25,Mo Xiang Tong Xiu,26
26,Margaret Atwood,27
27,Alex Michaelides,28
28,Toshikazu Kawaguchi,29
29,Tara Westover,30
30,Amor Towles,31
31,Paul Kalanithi,32
32,Russ Harris,33
33,Anthony Doerr,34
34,Benjamin Graham,35
35,Don Miguel Ruiz,36
36,Roald Dahl,37
37,Gareth Moore,38
38,Andre Aciman,39
39,Frank Herbert,40
40,Maya Angelou,41
41,Celeste Ng,42
42,Adam Silvera,43
43,Jamie Oliver,44
44,Robert T. Kiyosaki,45
45,Hanya Yanagihara,46
46,Brene Brown,47
47,Daniel J. Siegel,48
48,Stephen Chbosky,49
49,Michelle Obama,50
50,Marie Kondo,51
51,Bernardine Evaristo,52
52,Harper Lee,53
53,Jojo Moyes,54
54,Dr Carol Dweck,55
55,Leigh Bardugo,56
56,David Walliams,57
57,E. L. James,58
58,E. Lockhart,59
59,Michael A. Singer,60
60,Matthew Walker,61
61,Jordan B. Peterson,62
62,Andy Griffiths,63
63,Muriel Barbery,64
64,Liane Moriarty,65
65,Casey McQuiston,66
66,Rhonda Byrne,67
67,Susan Cain,68
68,Richard Osman,69
69,Gary Chapman,70
70,Chris Voss,71
71,Christy Lefteri,72
72,Gege Akutami,73
73,Timothy Ferriss,74
74,Osamu Dazai,75
75,Sun Tzu,76
76,Fredrik Backman,77
77,Ernest Cline,78
78,Ryan Holiday,79
79,Sally Thorne,80
80,Kathryn Stockett,81
81,Stephen Hawking,82
82,SUZANNE COLLINS,83
83,Meik Wiking,84
84,J. D. Salinger,85
85,Ray Bradbury,86
86,J.K. Rowling,87
87,Clarissa Pinkola Estes,88
88,Oliver Sacks,89
89,Aldous Huxley,90
90,Karen M. McManus,91
91,Benjamin Alire Saenz,92
92,Hiro Arikawa,93
93,Taylor Jenkins Reid,94
94,Heather Morris,95
95,George R. R. Martin,96
96,Johann Hari,97
97,Donna Tartt,98
98,Dr Michael Mosley,99
99,Edith Eger,100
100,Vex King,101
101,Holly Black,102
102,Ransom Riggs,103
103,Rosamund Lupton,104
104,Kazuo Ishiguro,105
105,Paulo Coelho,106
106,Elena Armas,107
107,Thich Nhat Hanh,108
108,Emma Donoghue,109
109,Mihaly Csikszentmihalyi,110
110,Julia Donaldson,111
111,David Goggins,112
112,John Green,113
113,Tizzie Hall,114
114,Stieg Larsson,115
115,Brené Brown,116
116,Ray Dalio,117
117,Sarah J. Maas,118
118,Jane Harper,119
119,Annabel Karmel,120
120,Stephen King,121
121,Morgan Housel,122
122,Ashlee Vance,123
123,Emma Farrarons,124
124,Fyodor Dostoevsky,125
125,Cal Newport,126
126,Trevor Noah,127
127,Gregory David Roberts,128
128,Charles Duhigg,129
129,Stephen Fry,130
130,David Nicholls,131
131,Yung Pueblo,132
132,Victoria Aveyard,133
133,Michael Mosley,134
134,Glennon Doyle,135
135,Professor Mark Williams,136
136,Beth O'Leary,137
137,Oprah Winfrey,138
138,Atul Gawande,139
139,Stephen R. Covey,140
140,Astrid Lindgren,141
141,Art Spiegelman,142
142,Phil Knight,143
143,Angie Thomas,144
144,Dr Gabor Mate,145
145,Norman Doidge,146
146,Laura Markham,147
147,Tim Marshall,148
148,Eric Ries,149
149,Jeffrey E. Young,150
150,Graeme Simsion,151
151,Ali Hazelwood,152
152,Keri Smith,153
153,Adele Faber,154
154,Blake Masters,155
155,Kristin Hannah,156
156,Nicola Yoon,157
157,Thomas Erikson,158
158,Giulia Enders,159
159,Jen Sincero,160
160,Keda Cowling,161
161,Jeff Kinney,162
162,Steven Pressfield,163
163,Louise Hay,164
164,Randall Munroe,165
165,Maggie O'Farrell,166
166,Haruki Murakami,167
167,Patrick Rothfuss,168
168,Elizabeth Lim,169
169,Florence Given,170
170,Min Jin Lee,171
171,Douglas Adams,172
172,Robert Greene,173
173,Jennifer Niven,174
174,William Golding,175
175,Hans Rosling,176
176,Paula Hawkins,177
177,Rainbow Rowell,178
178,Albert Camus,179
179,Moleskine,180
180,Suzanne Collins,181
181,Malcolm Gladwell,182
182,James Kerr,183
183,Brit Bennett,184
184,Hector Garcia,185
