,title,pages-count,date-published,bestsellers-rank,rating,rating-count,author,back-type,price-ILS,width,height,thickness,weight,Contemporary Fiction,Children's Fiction,Children's General Story Books,Adventure Books for Kids,Fantasy Books,Fantasy,Classic Books & Novels,Fantasy Books for Kids,Animal Stories,Sci Fi Books for Kids,Personal Development,Funny Books for Kids,Popular Psychology,Family,"Mind, Body, Spirit: Thought & Practice",Science Fiction,Activity Books,Picture Books,"Assertiveness, Motivation & Self-esteem",Classic Books for Children,Crime,Crime Fiction,Historical Fiction,Graphic Novels: Manga,Romance Books,Romance,Storybooks,Advice On Careers & Achieving Success,Memoirs,Thriller Books,Thrillers,Early Learning,Romance Books for Teenagers,Adventure Books,Biography: General,Funny Books & Stories,Psychology,Family & Relationships,Adult & Contemporary Romance,"Mind, Body & Spirit",Characters,Advice On Parenting,Health Books,Business & Management,"Graphic Novels, Anime & Manga",General Cookery,Baby Books,Popular Medicine & Health,Management: Leadership & Motivation,Family Issues,Traditional,"Mind, Body, Spirit: Meditation & Visualisation"
0,It Ends With Us: The most heartbreaking novel you'll ever read : The most heartbreaking novel you'll ever read,384.0,2016-08-02,2,4.43,585561.0,Colleen Hoover,Paperback,46.55,130.0,198.0,27.0,270.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Sapiens : A Brief History of Humankind,512.0,2015-05-01,72,4.39,705951.0,Yuval Noah Harari,Paperback,62.48,129.0,198.0,37.0,437.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,The Barefoot Investor : The Only Money Guide You'll Ever Need,296.0,2018-07-01,7383,4.42,14880.0,Scott Pape,Paperback,76.6,180.0,235.0,17.0,518.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Milk and Honey,208.0,2016-07-08,226,4.03,469183.0,Rupi Kaur,Paperback,53.2,127.0,196.0,13.0,204.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
5,Where the Crawdads Sing,384.0,2019-12-20,37,4.46,1490519.0,Delia Owens,Paperback,45.42,126.0,196.0,28.0,300.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,The Power of Now : (20th Anniversary Edition),224.0,2016-01-07,159,4.13,263717.0,Eckhart Tolle,Paperback,57.01,189.0,231.0,14.0,162.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
8,The Midnight Library : The No.1 Sunday Times bestseller and worldwide phenomenon,304.0,2021-02-18,11,4.08,711736.0,Matt Haig,Paperback,47.31,129.0,198.0,17.0,224.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,This is Going to Hurt : Secret Diaries of a Junior Doctor,256.0,2018-04-19,170,4.39,201280.0,Adam Kay,Paperback,50.41,130.0,197.0,19.0,219.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,"Thinking, Fast and Slow",512.0,2012-05-24,72,4.16,384597.0,Daniel Kahneman,Paperback,65.34,129.0,198.0,21.0,351.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,The Great Gatsby,144.0,1999-12-01,1840,3.93,4250339.0,F. Scott Fitzgerald,Paperback,27.82,129.0,198.0,7.0,96.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,How to Win Friends and Influence People,304.0,2011-05-16,164,4.21,757645.0,Dale Carnegie,Paperback,46.99,103.0,170.0,25.0,155.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
14,1984 : The dystopian classic reimagined with cover art by Shepard Fairey,336.0,2008-10-01,66,4.19,3640440.0,George Orwell,Paperback,37.23,111.0,181.0,20.0,184.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,Normal People : One million copies sold,288.0,2019-07-23,33,3.85,670310.0,Sally Rooney,Paperback,49.24,129.0,198.0,17.0,240.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
17,The Little Prince,112.0,1998-01-01,366,4.31,1631952.0,Antoine de Saint-Exupery,Paperback,27.47,129.0,198.0,6.0,77.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,"The Body Keeps the Score : Mind, Brain and Body in the Transformation of Trauma",560.0,2015-09-24,49,4.44,73294.0,Bessel Van Der Kolk,Paperback,65.98,129.0,198.0,24.0,385.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
20,The Subtle Art of Not Giving a F*ck : A Counterintuitive Approach to Living a Good Life,224.0,2016-11-17,560,3.92,715415.0,Mark Manson,Hardback,76.32,140.0,210.0,21.0,308.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,Atomic Habits : the life-changing million-copy #1 bestseller,320.0,2018-11-27,10,4.37,290991.0,James Clear,Paperback,78.49,153.0,234.0,23.0,419.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,Harry Potter and the Cursed Child - Parts I & II : The Official Script Book of the Original West End Production,352.0,2016-07-31,3066,3.55,824580.0,J. K. Rowling,Hardback,79.2,164.0,239.0,32.0,594.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,Animal Farm : The dystopian classic reimagined with cover art by Shepard Fairey,112.0,2008-10-01,93,3.97,3125725.0,George Orwell,Paperback,37.46,111.0,181.0,6.0,67.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,Good Night Stories for Rebel Girls,224.0,2017-03-02,3595,4.35,34606.0,Elena Favilli,Hardback,115.66,185.0,250.0,20.0,937.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,Man's Search For Meaning : The classic tribute to hope from the Holocaust,160.0,2015-10-06,50,4.35,513135.0,Viktor E Frankl,Paperback,63.71,110.0,178.0,9.0,89.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,Wonder,320.0,2013-01-23,1309,4.4,892955.0,R. J. Palacio,Paperback,47.37,129.0,198.0,20.0,224.0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
32,"The Boy, The Mole, The Fox and The Horse",128.0,2019-11-04,38,4.59,93369.0,Charlie Mackesy,Hardback,82.23,174.0,222.0,174.0,540.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
33,Start With Why : How Great Leaders Inspire Everyone To Take Action,256.0,2011-10-11,60,4.08,161858.0,Simon Sinek,Paperback,52.77,129.0,198.0,16.0,181.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
34,The Song of Achilles,368.0,2017-09-21,18,4.41,590451.0,Madeline Miller,Paperback,52.91,129.0,198.0,25.0,256.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,Eleanor Oliphant is Completely Fine,400.0,2018-04-05,1033,4.26,917017.0,Gail Honeyman,Paperback,49.67,129.0,198.0,30.0,350.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,Grandmaster of Demonic Cultivation : Mo Dao Zu Shi: Vol 1,504.0,2021-12-14,4,4.7,582.0,Mo Xiang Tong Xiu,Paperback,80.9,149.0,210.0,30.0,369.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,The Handmaid's Tale,336.0,2011-06-28,2349,4.12,1670962.0,Margaret Atwood,Paperback,50.69,129.0,198.0,20.0,234.0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
